epoch,mAP,AP.5,AP.75,APs,APm,APl,AR1,AR10,AR100,ARs,ARm,ARl,box_loss,obj_loss,cls_loss,loss,lr_rate
71,0.0367,0.1066,0.0167,-1.0,0.0,0.0367,0.0962,0.1841,0.1892,-1.0,0.0,0.1893,0.016,0.0039,0.0005,0.0204,0.002742
72,0.0412,0.1272,0.0148,-1.0,0.0,0.0412,0.0965,0.185,0.1881,-1.0,0.0,0.1882,0.0153,0.0038,0.0004,0.0195,0.002632
73,0.0624,0.1771,0.028,-1.0,0.0,0.0624,0.1339,0.2329,0.238,-1.0,0.0,0.2381,0.015,0.0038,0.0004,0.0191,0.002524
74,0.0413,0.1223,0.0209,-1.0,0.0,0.0413,0.0994,0.1528,0.1545,-1.0,0.0,0.1546,0.0149,0.0037,0.0004,0.0189,0.00242
75,0.041,0.1308,0.0171,-1.0,0.0,0.041,0.0944,0.1837,0.1893,-1.0,0.0,0.1894,0.0144,0.0036,0.0004,0.0184,0.002318
76,0.0492,0.1444,0.0245,-1.0,0.0,0.0492,0.1026,0.1712,0.1756,-1.0,0.0,0.1757,0.014,0.0036,0.0004,0.018,0.00222
77,0.0515,0.152,0.0217,-1.0,0.0,0.0515,0.1039,0.2067,0.21,-1.0,0.0,0.2101,0.0139,0.0035,0.0003,0.0177,0.002125
78,0.053,0.1575,0.0233,-1.0,0.0,0.053,0.1026,0.1832,0.1871,-1.0,0.0,0.1872,0.0135,0.0034,0.0004,0.0173,0.002033
79,0.0562,0.1549,0.0272,-1.0,0.0,0.0562,0.1126,0.1933,0.1988,-1.0,0.0,0.199,0.0132,0.0034,0.0003,0.0169,0.001944
80,0.0529,0.1569,0.0234,-1.0,0.0,0.0529,0.1086,0.168,0.1726,-1.0,0.0,0.1727,0.0126,0.0033,0.0003,0.0162,0.001859
81,0.0546,0.1592,0.0243,-1.0,0.0,0.0546,0.1145,0.2034,0.2076,-1.0,0.0,0.2077,0.0124,0.0033,0.0003,0.016,0.001778
82,0.0454,0.1369,0.0238,-1.0,0.0,0.0454,0.0802,0.1522,0.1554,-1.0,0.0,0.1555,0.0119,0.0032,0.0003,0.0154,0.001701
83,0.0595,0.17,0.0309,-1.0,0.0,0.0595,0.1134,0.189,0.1922,-1.0,0.0,0.1924,0.0116,0.0032,0.0003,0.015,0.001627
84,0.0524,0.1529,0.0236,-1.0,0.0,0.0524,0.1068,0.1695,0.1743,-1.0,0.0,0.1744,0.0113,0.0031,0.0003,0.0147,0.001557
85,0.0493,0.1456,0.021,-1.0,0.0,0.0493,0.1001,0.1714,0.174,-1.0,0.0,0.1741,0.0112,0.0031,0.0003,0.0146,0.00149
86,0.0436,0.131,0.0197,-1.0,0.0,0.0436,0.103,0.167,0.1744,-1.0,0.0,0.1745,0.011,0.003,0.0003,0.0143,0.001428
87,0.0527,0.1601,0.0203,-1.0,0.0,0.0527,0.1039,0.1921,0.1964,-1.0,0.0,0.1965,0.0106,0.003,0.0002,0.0138,0.00137
88,0.0527,0.1566,0.019,-1.0,0.0,0.0527,0.1011,0.2052,0.2102,-1.0,0.0,0.2103,0.0103,0.003,0.0003,0.0135,0.001316
89,0.0568,0.1653,0.0295,-1.0,0.0,0.0568,0.1091,0.1877,0.1924,-1.0,0.0,0.1925,0.0101,0.0029,0.0002,0.0133,0.001266
90,0.0451,0.1357,0.0205,-1.0,0.0,0.0451,0.0991,0.1762,0.1789,-1.0,0.0,0.179,0.0099,0.0029,0.0003,0.013,0.00122
91,0.0476,0.1387,0.0204,-1.0,0.0,0.0476,0.0949,0.1682,0.1708,-1.0,0.0,0.1709,0.0096,0.0029,0.0002,0.0127,0.001179
92,0.058,0.1641,0.0241,-1.0,0.0,0.058,0.1196,0.1964,0.2003,-1.0,0.0,0.2005,0.0094,0.0028,0.0002,0.0125,0.001141
93,0.0614,0.1783,0.0283,-1.0,0.0,0.0614,0.1139,0.1845,0.1883,-1.0,0.0,0.1884,0.0095,0.0028,0.0002,0.0125,0.001108
94,0.0542,0.1512,0.0267,-1.0,0.0,0.0542,0.0963,0.2108,0.2146,-1.0,0.0,0.2147,0.009,0.0028,0.0002,0.012,0.00108
95,0.0537,0.157,0.0229,-1.0,0.0,0.0537,0.1101,0.1859,0.189,-1.0,0.0,0.1891,0.009,0.0028,0.0002,0.0119,0.001055
96,0.0488,0.1428,0.0172,-1.0,0.0,0.0488,0.1019,0.1674,0.1735,-1.0,0.0,0.1736,0.009,0.0027,0.0002,0.0119,0.001035
97,0.057,0.1522,0.031,-1.0,0.0,0.057,0.1046,0.1939,0.1987,-1.0,0.0,0.1988,0.0088,0.0027,0.0002,0.0117,0.00102
98,0.0551,0.1531,0.0295,-1.0,0.0,0.0551,0.1133,0.1825,0.1842,-1.0,0.0,0.1843,0.0088,0.0027,0.0002,0.0117,0.001009
99,0.0653,0.1764,0.0371,-1.0,0.0,0.0653,0.1084,0.1941,0.1973,-1.0,0.0,0.1974,0.0084,0.0026,0.0002,0.0113,0.001002
